_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a7952c5fbc457423b174e1),com.tapjoy,com/tapjoy,Tapjoy,,,https://my.tapjoy.com/,ADVERTISEMENT,2017-02-18T00:16:35.987Z,2017-02-18T00:16:35.987Z
ObjectId(58a7952d5fbc457423b174e3),cn.domob,cn/domob,Domob,,,http://www.mobyaffiliates.com/mobile-advertising-networks/domob/,ADVERTISEMENT,2017-02-18T00:16:35.989Z,2017-02-18T00:16:35.989Z
ObjectId(58a7952d5fbc457423b174e4),org.burlock.amazonads,org/burlock/amazonads,Amazon Ads (repackaged by Bulock),,,http://apps.burlock.org/easy-amazon-ads-plugin-for-unity/,ADVERTISEMENT,2017-02-18T00:16:35.989Z,2017-02-18T00:16:35.989Z
ObjectId(58a7952d5fbc457423b174e5),com.applifier.impact,com/applifier/impact,Applifier,,,http://www.applifier.com,ADVERTISEMENT,2017-02-18T00:16:35.991Z,2017-02-18T00:16:35.991Z
ObjectId(58a7952d5fbc457423b174e6),com.facebook.ads,com/facebook/ads,Facebook Native Ads,,,https://developers.facebook.com/docs/audience-network/android-native,ADVERTISEMENT,2017-02-18T00:16:35.992Z,2017-02-18T00:16:35.992Z
ObjectId(58a7952e5fbc457423b174e7),com.vpadn,com/vpadn,Vpadn Ads,,,https://vpon-sdk.github.io/android/banner/,ADVERTISEMENT,2017-02-18T00:16:35.992Z,2017-02-18T00:16:35.992Z
ObjectId(58a7952e5fbc457423b174e9),com.adknowledge.superrewards,com/adknowledge/superrewards,AdKnowledge - Superrewards,,,http://www.adknowledge.com/,ADVERTISEMENT,2017-02-18T00:16:36.002Z,2017-02-18T00:16:36.002Z
ObjectId(58a7952f5fbc457423b174ea),com.adappter.sdk,com/adappter/sdk,Adappter,,,http://www.adappter.net,ADVERTISEMENT,2017-02-18T00:16:36.003Z,2017-02-18T00:16:36.003Z
ObjectId(58a7952f5fbc457423b174eb),mobpartner.ad.sdk,mobpartner/ad/sdk,MobPartner,,,http://www.cheetahmedialink.com/,ADVERTISEMENT,2017-02-18T00:16:36.004Z,2017-02-18T00:16:36.004Z
ObjectId(58a7952f5fbc457423b174ec),com.pennwell,com/pennwell,Pennwell,,,http://www.pennwell.com/index.html,ADVERTISEMENT,2017-02-18T00:16:36.004Z,2017-02-18T00:16:36.004Z
ObjectId(58a7952f5fbc457423b174ed),com.kuadcpa,com/kuadcpa,Waystorm - Kuadcpa,,,http://www.waystorm.com/,ADVERTISEMENT,2017-02-18T00:16:36.005Z,2017-02-18T00:16:36.005Z
ObjectId(58a795305fbc457423b174ef),com.tapit,com/tapit,Phunware - Tapit,,,https://ads.tapit.com/,ADVERTISEMENT,2017-02-18T00:16:36.005Z,2017-02-18T00:16:36.006Z
ObjectId(58a795305fbc457423b174f0),com.startapp.android,com/startapp/android,StartApp,,,http://lp.startapp.com/uni/,ADVERTISEMENT,2017-02-18T00:16:36.006Z,2017-02-18T00:16:36.006Z
ObjectId(58a795315fbc457423b174f1),com.Leadbolt,com/Leadbolt,Leadbolt,,,https://www.leadbolt.com/,ADVERTISEMENT,2017-02-18T00:16:36.006Z,2017-02-18T00:16:36.006Z
